CONTROL,KAMG_fl,Blue,Green,Red,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,NDVI,VH,VV,C,predicted
6:53:18,15,0.094160359598748,0.07921147388170684,0.06393900684411452,0.08416428635865864,0.15182056998613724,0.1767490683164647,0.17501873544782304,0.1981552805029157,0.153680353078898,0.08445387037689306,0.4639804052178591,-15.75202669209045,-10.76197876502683,3.5516249999999996,20.444071754458243
1:244:23,10,0.11349476868335295,0.10368025823418144,0.11026760369868811,0.1231169740283817,0.15228813926627077,0.16936842412972358,0.16653644552659408,0.18826787214632434,0.22666406573714132,0.1759890737223972,0.20059861720994593,-17.949594330545693,-11.93441700448654,2.36775,11.326363660741691
2:328:10,10,0.1041929834573089,0.08438181243474713,0.08041867007535639,0.08886311178712383,0.11376919158820756,0.12785195721190337,0.12298925560683598,0.1433211988527769,0.19685468982010262,0.15742531619646863,0.20778628138179137,-20.256440586462606,-14.037035912917954,2.36775,13.809315548514649
3:108:4,10,0.09318006827249367,0.07806598774970096,0.061739282890802875,0.08749655979108413,0.1691029230840035,0.19914221588577066,0.19684159568934534,0.2237991571570233,0.1566010986066506,0.08219379110535091,0.5217324628069218,-15.932070703321541,-11.116393951204364,2.36775,17.766096673510184
4:243:8,10,0.09306155913071457,0.07648351581564275,0.05504040559899917,0.07981060197527247,0.16647187743021313,0.19892572535337735,0.19240074823804096,0.21970159833871492,0.13022461854946316,0.06389950200400049,0.5550500270969523,-14.833670700709675,-9.915097524290541,2.36775,34.59752492590683
1:221:32,20,0.10743037546771952,0.09425908114498946,0.09894398325748709,0.1105989656870837,0.13821065431729843,0.1544022123566802,0.14696737938101753,0.17111566943039805,0.21914974191973685,0.16832997527236823,0.19666853819703264,-19.665742342642005,-12.930793673082066,4.7355,10.965701192502772
1:171:30,20,0.09179135112251291,0.07563994727785563,0.06750992198257291,0.08275018092680267,0.12176659144649125,0.13738447358054365,0.13054623613902214,0.1523345006140139,0.18575513450625059,0.13492899043787623,0.3121355153651773,-18.010643951971495,-11.6545795647591,4.7355,18.846129910433476
1:235:11,20,0.10234659054244272,0.08555213010493573,0.08624459778181606,0.09608982882462723,0.11800903767623416,0.13212847045638046,0.12851472353046364,0.14703673309846385,0.19101327558578568,0.13693317967459406,0.19481790138464627,-18.07558737624605,-12.404546436101805,4.7355,16.31359545632939
1:34:19,20,0.0877341891772972,0.07353508752506474,0.05772589032496698,0.08392204215910021,0.17412081951114133,0.21147026884391867,0.20507592479964737,0.23854048176568177,0.1680021958007431,0.0844226714439577,0.5563454814309602,-15.356233991162922,-9.60531319899679,4.7355,25.32015935014565
2:306:17,20,0.1019076599191741,0.07909696823593297,0.07486004012362482,0.08403379340345256,0.10668327310772385,0.1199857567153579,0.11603946529767016,0.13519304849955852,0.171911720205712,0.11556717977415906,0.21098544457562868,-17.627355525218835,-11.98966338647401,4.7355,23.221875215816
2:306:7,20,0.10318572957436697,0.08136883881398788,0.0796235700576469,0.08740274531003168,0.10904492715068326,0.12206953692572452,0.11809780220525713,0.13748385050603557,0.1785237031667344,0.12512299881074912,0.19125505053979897,-17.883589951346735,-12.024309686636302,4.7355,21.828629658349392
2:328:16,20,0.09664178531403192,0.07974452356774027,0.06754020215407415,0.09035091711400918,0.15999367237517645,0.1883891430370594,0.1822829524065001,0.2120118704778858,0.19623057922126583,0.12333579100924569,0.4537369903642973,-18.370674567075934,-12.436846122957949,4.7355,14.283025705671648
2:331:22,20,0.0965309757992256,0.07841577981428118,0.06975060967451208,0.08511453245946289,0.12877627370703465,0.14835218359628224,0.14228386033063503,0.16604812479792658,0.17321893985224973,0.11498763902203006,0.3323687912533888,-17.317582747092548,-11.740497011673526,4.7355,21.97470509170299
3:109:7,20,0.09225945083239624,0.07649622709807197,0.06263696961961537,0.08449861321196332,0.14818730142108505,0.17030500501007936,0.16802990761429393,0.19030443119324947,0.1589913293791199,0.0920352021581305,0.4569198169009237,-16.252509910529014,-11.783308555635166,4.7355,20.399317716756613
6:30:38,20,0.10099629465271105,0.08991247177427189,0.06616808369643673,0.10054051667371389,0.23349717796774141,0.28078755812214595,0.2736613994866405,0.3167340241156344,0.2019974611553744,0.09454106259237957,0.610114770571402,-16.263976518300613,-10.75110643174223,4.7355,16.905536999743305
6:33:21,20,0.09350978243802191,0.07779992490753926,0.0665084062098851,0.08916321825408964,0.16701901382182327,0.1990348000053699,0.1961946096585849,0.22675829901049913,0.15925884370836857,0.08130098941977086,0.4917216186523268,-15.41175699331766,-10.483537733171804,4.7355,22.17979307879514
1:213:10,25,0.09539481788378967,0.08167558950297149,0.07218010564774092,0.09705836948329408,0.14663346166125885,0.16541919675418487,0.16193302293217585,0.18528700171960993,0.20064062537365535,0.1388810518365624,0.3632134178514793,-18.598068932653835,-11.692525436669452,5.919375,17.07361593373834
6:205:9,25,0.09083424188950763,0.07259712669141617,0.05103088533508218,0.07519511222336613,0.16561261973029007,0.1968624675095678,0.19399819809193722,0.22120196762227806,0.13546432542035045,0.0645062624898551,0.5801336503017185,-15.242710559327346,-10.451455761318375,5.919375,32.403159577126964
1:210:2,30,0.093995446338855565,0.0838970143512689,0.062467798834967274,0.09659696151432488,0.20172441123289472,0.2391896517295173,0.23456842482156193,0.26744303048391505,0.18537172439336932,0.09557801142676967,0.5776541730395142,-15.318416444944258,-9.500494481990039,7.103249999999999,22.666894394996266
1:270:10,30,0.09007973431229581,0.07791716260393855,0.06710006958109771,0.09327546015453396,0.15048615137611618,0.17255515211923553,0.1664046410294531,0.19242674694689726,0.18714100843126408,0.11384910858142587,0.41650579194815296,-17.592163109011537,-11.491897474806393,7.103249999999999,20.95726093992317
2:84:46,30,0.09659232434136511,0.08304540810181878,0.06147436011983826,0.0930186386838138,0.19651640821861727,0.235284948748469,0.23104772581725103,0.2655157926301737,0.1837430152361099,0.08791041557352149,0.5776491476699851,-16.86881904277803,-11.57006072280381,7.103249999999999,17.344945664188728
2:332:32,30,0.10239721587521267,0.08119742348703389,0.07848431649261337,0.0820275573369344,0.09540587473839555,0.10514941793616708,0.09989093081583818,0.1171171778853109,0.1875191566884162,0.16261903282435414,0.11517237003479985,-20.11512009504483,-14.112640126641622,7.103249999999999,21.374707135098575
2:329:5,30,0.0965046680937634,0.07822810577121625,0.06928001566573659,0.08609585243939577,0.13919387844865372,0.16269229513539668,0.1569511836236208,0.1828969613644429,0.174164232383617,0.11036688148109529,0.3824788465492904,-17.38426109805999,-12.12741755887579,7.103249999999999,18.763310250205674
2:330:1,30,0.09397089829605866,0.07676366257907723,0.0673907251960623,0.0839644413860596,0.1319122684580896,0.1509400025406887,0.14424733367403914,0.1673720736260659,0.14430091664282427,0.08445726343284743,0.362333854437191,-17.31409398116233,-12.274649083466782,7.103249999999999,19.299762784989067
2:330:24,30,0.09281385545681754,0.07575868173353281,0.06373923346271056,0.08152399850777109,0.13732526489823477,0.15936997216299081,0.1529250198787069,0.1775989010693596,0.13642777685437152,0.0770559076303778,0.40908964546830845,-15.803973656279256,-10.982257817406758,7.103249999999999,20.20268172017709
4:285:6,30,0.10205175210982963,0.08658833311276343,0.07895776613285387,0.09464642935217582,0.14034888994726888,0.15840402913378931,0.15240695582381128,0.17520814367918983,0.19018620522858942,0.14127073891895128,0.31727413419553807,-19.75730886179545,-13.800224763724732,7.103249999999999,20.010950021910897
