OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
1,1:194:24,1,897,89700,-7.513988736828692
2,1:89:36,2,151,15100,-7.128985110363027
3,1:89:38,3,454,45400,-4.334961161384328
4,1:89:47,4,73,7300,-3.584033653656267
5,1:89:46,5,231,23100,-6.633155505797493
6,1:89:43,6,265,26500,-1.134352318486865
7,1:194:38,7,327,32700,-12.678889872109053
8,1:194:35,8,363,36300,-7.210881369721838
9,1:194:27,9,920,92000,-8.574244284983674
10,1:194:28,10,275,27500,-13.55848579754711
11,1:194:31,11,1323,132300,-11.434511406499702
12,1:177:46,12,161,16100,-2.640811246718941
13,1:178:52,13,142,14200,-3.8968484874669
14,1:178:40,14,695,69500,-4.552381124686455
15,1:178:38,15,148,14800,-1.16422283969735
16,1:178:7,16,608,60800,-1.703647547340033
17,1:178:16,17,239,23900,-1.580665637692081
18,1:178:8,18,226,22600,-0.857297499252217
19,1:178:17,19,501,50100,-2.753621489853195
20,1:178:18,20,125,12500,-3.569891485212847
21,1:178:94,21,151,15100,-3.432285335295626
22,1:178:19,22,158,15800,-1.382207438390053
23,1:178:46,23,62,6200,1.304584146807482
24,1:178:45,24,609,60900,-2.339389075084611
25,1:178:9,25,364,36400,-3.490347543200333
26,1:178:59,26,530,53000,-5.157245732263683
27,1:178:51,27,151,15100,-9.09557875720536
28,1:178:62,28,162,16200,-3.310595003723233
29,1:158:1,29,265,26500,-3.020552748882204
30,1:158:4,30,1089,108900,-0.7474847904675
31,1:158:17,31,171,17100,-7.047799473512701
32,1:158:7,32,291,29100,-1.3436930152666129
33,1:158:8,33,450,45000,-1.776034692093578
34,1:158:2,34,310,31000,-3.847250272507684
35,1:158:19,35,48,4800,-7.278457009671323
36,1:158:20,36,62,6200,-9.326530548157107
37,1:158:15,37,465,46500,-5.882701628275845
38,1:158:5,38,411,41100,-2.182440977389907
39,1:158:3,39,197,19700,-2.756071361440163
40,1:158:18,40,37,3700,-3.399515171084868
41,1:158:11,41,180,18000,-8.297206780502481
42,1:158:16,42,68,6800,-5.184357897032601
43,1:142:12,43,301,30100,-1.045263586338774
44,1:142:4,44,174,17400,-2.933681230245115
45,1:142:1,45,226,22600,-3.607776666183326
46,1:142:24,46,257,25700,-5.467573519528108
47,1:142:23,47,56,5600,-8.315699084109333
48,1:142:20,48,439,43900,-3.094586902741642
49,1:142:6,49,133,13300,-5.408488389212545
50,1:142:25,50,123,12300,-2.190081171293432
51,1:142:21,51,234,23400,-2.192445798659127
52,1:142:26,52,50,5000,-0.194082256809765
53,1:142:27,53,190,19000,-1.881111373714469
54,1:142:22,54,112,11200,-2.426846045560406
55,1:127:5,55,237,23700,-4.88521848831462
56,1:127:3,56,546,54600,-4.208213672346952
57,1:127:9,57,224,22400,-3.711777285990444
58,1:127:8,58,143,14300,-9.211643758780669
59,1:127:7,59,313,31300,-9.590941368592992
60,1:127:6,60,198,19800,-9.798213037984034
61,1:127:12,61,302,30200,-7.316401906987513
62,1:127:1,62,3189,318900,-7.809525262013681
63,1:107:4,63,169,16900,-2.31988477412879
64,1:107:11,64,149,14900,-4.991237917727167
65,1:107:3,65,674,67400,-4.59695281885969
66,1:107:10,66,381,38100,-2.003263366168923
67,1:68:3,67,127,12700,-9.245895239904776
68,1:68:13,68,1631,163100,-3.218192552671591
69,1:68:15,69,1187,118700,-3.790820526283228
70,1:68:2,70,789,78900,-5.731731095352497
71,1:157:22,71,229,22900,-2.491820951196096
72,1:157:33,72,115,11500,-2.809749720320478
73,1:157:12,73,139,13900,-1.59838862452005
74,1:157:35,74,69,6900,-0.339255924008151
75,1:157:25,75,258,25800,-3.160973709444614
76,1:157:18,76,388,38800,-0.647255910158771
77,1:157:15,77,75,7500,-5.123744956276168
78,1:157:7,78,149,14900,-1.10616857520137
79,1:157:10,79,116,11600,-6.08750872864202
80,1:157:4,80,246,24600,-2.495363582184951
81,1:157:34,81,38,3800,-0.996240085661231
82,1:157:11,82,783,78300,-2.960365576910925
83,1:157:6,83,94,9400,-8.635315770324878
84,1:157:28,84,344,34400,-2.094837338321895
85,1:157:27,85,214,21400,-0.254047642674192
86,1:157:32,86,93,9300,-1.529524506500464
87,1:157:29,87,151,15100,0.118112402515193
88,1:157:26,88,115,11500,-1.237134949514501
89,1:157:23,89,193,19300,-1.772695086446543
90,1:157:17,90,478,47800,-4.153323944956393
91,1:157:14,91,438,43800,-3.441520846632101
92,1:157:8,92,74,7400,-6.943217995111622
93,1:157:2,93,240,24000,-8.098919207716303
94,1:157:1,94,55,5500,-5.981921088669639
95,1:157:5,95,172,17200,-6.599232727313971
96,1:110:49,96,47,4700,-2.102884652541667
97,1:110:44,97,245,24500,-4.251201298410908
98,1:110:37,98,131,13100,-8.800494796277
99,1:110:32,99,545,54500,-7.051406555270788
100,1:110:31,100,65,6500,-5.957140945577115
101,1:110:25,101,197,19700,-6.604038653077028
102,1:110:50,102,166,16600,-7.833999533789667
103,1:110:17,103,727,72700,-5.55388755875128
104,1:110:16,104,171,17100,-5.904776269261776
105,1:110:45,105,549,54900,-9.080006817393553
106,1:110:21,106,325,32500,-4.311437895321511
107,1:110:26,107,207,20700,-4.11910337898986
108,1:110:33,108,206,20600,-4.851803597642999
109,1:110:51,109,170,17000,-3.103097418608716
110,1:110:27,110,1950,195000,-5.397020254921435
111,1:110:34,111,45,4500,-4.488731294172469
112,1:110:4,112,71,7100,-1.234651627772256
113,1:110:40,113,797,79700,-3.551006611378265
114,1:110:5,114,72,7200,-5.082460218068953
115,1:110:6,115,151,15100,-1.440236038298498
116,1:110:59,116,120,12000,-2.598335922207337
117,1:110:35,117,252,25200,-1.571360368305438
118,1:110:8,118,118,11800,-2.593810127248616
119,1:110:55,119,50,5000,1.323786294150559
120,1:110:47,120,279,27900,-1.606554901172746
121,1:110:36,121,88,8800,-4.38288737826907
122,1:110:7,122,114,11400,-5.889992308214446
123,1:110:42,123,200,20000,0.491497832795349
124,1:110:56,124,111,11100,-1.051595578567315
125,1:110:23,125,95,9500,-4.622440525480805
126,1:110:48,126,97,9700,1.445026695468888
127,1:110:9,127,187,18700,-6.134251877748412
128,1:110:30,128,504,50400,-2.035906180985479
129,1:110:57,129,223,22300,-3.231416082976166
130,1:110:24,130,150,15000,1.096107275559353
131,1:110:19,131,1598,159800,-4.255363714011228
132,1:110:43,132,70,7000,0.422656944199533
133,1:111:35,133,324,32400,-1.891735446165591
134,1:111:26,134,747,74700,-1.369531839639722
135,1:111:22,135,318,31800,-1.834446970482347
136,1:111:14,136,1096,109600,-2.024765411618946
137,1:111:41,137,249,24900,-2.780631367599574
138,1:111:2,138,197,19700,-1.81447479895607
139,1:111:42,139,106,10600,-6.268075131109621
140,1:111:13,140,370,37000,-1.870136721370383
141,1:111:16,141,230,23000,-3.786115657796568
142,1:111:3,142,413,41300,-0.655303175828023
143,1:111:23,143,1629,162900,-2.286507981666273
144,1:111:15,144,100,10000,-2.991319297205552
145,1:111:43,145,136,13600,-3.931784437611911
