OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
1,1:194:24,1,897,89700,-15.20635175509797
2,1:89:36,2,151,15100,-14.549110244952491
3,1:89:38,3,454,45400,-14.71626914596646
4,1:89:47,4,73,7300,-14.926944076006395
5,1:89:46,5,231,23100,-14.792539353562377
6,1:89:43,6,265,26500,-14.829943978036644
7,1:194:38,7,327,32700,-15.366737775383376
8,1:194:35,8,363,36300,-15.389051271599943
9,1:194:27,9,920,92000,-15.455878156706927
10,1:194:28,10,275,27500,-15.129367811647247
11,1:194:31,11,1323,132300,-15.385452007882886
12,1:177:46,12,161,16100,-14.819749771353443
13,1:178:52,13,142,14200,-15.231856590616182
14,1:178:40,14,695,69500,-14.950423132331041
15,1:178:38,15,148,14800,-15.203171479242023
16,1:178:7,16,608,60800,-14.787226394562989
17,1:178:16,17,239,23900,-14.714890878638835
18,1:178:8,18,226,22600,-14.788905382381333
19,1:178:17,19,501,50100,-14.63893416573993
20,1:178:18,20,125,12500,-14.748174326076313
21,1:178:94,21,151,15100,-14.72424989383931
22,1:178:19,22,158,15800,-14.823783308562465
23,1:178:46,23,62,6200,-15.362676850337017
24,1:178:45,24,609,60900,-15.095619466492492
25,1:178:9,25,364,36400,-14.660547065261298
26,1:178:59,26,530,53000,-14.583818354136977
27,1:178:51,27,151,15100,-15.104757826890863
28,1:178:62,28,162,16200,-15.23501065440425
29,1:158:1,29,265,26500,-14.726314729082048
30,1:158:4,30,1089,108900,-14.790608065934757
31,1:158:17,31,171,17100,-14.891916068159471
32,1:158:7,32,291,29100,-14.738703809110744
33,1:158:8,33,450,45000,-14.852765084580696
34,1:158:2,34,310,31000,-14.68420965987211
35,1:158:19,35,48,4800,-14.785392707051919
36,1:158:20,36,62,6200,-14.898735525056885
37,1:158:15,37,465,46500,-15.07109365775616
38,1:158:5,38,411,41100,-14.781617815129145
39,1:158:3,39,197,19700,-14.774032400630086
40,1:158:18,40,37,3700,-15.330181952453701
41,1:158:11,41,180,18000,-14.740123263936002
42,1:158:16,42,68,6800,-15.215459420879913
43,1:142:12,43,301,30100,-14.843546278843261
44,1:142:4,44,174,17400,-14.56325868617645
45,1:142:1,45,226,22600,-14.671131322978933
46,1:142:24,46,257,25700,-14.709143034568976
47,1:142:23,47,56,5600,-14.72181098726428
48,1:142:20,48,439,43900,-14.865562098525633
49,1:142:6,49,133,13300,-14.441517150705765
50,1:142:25,50,123,12300,-15.009936074877448
51,1:142:21,51,234,23400,-14.777590996896095
52,1:142:26,52,50,5000,-14.972599974419353
53,1:142:27,53,190,19000,-14.776968595694857
54,1:142:22,54,112,11200,-14.749449605914812
55,1:127:5,55,237,23700,-14.984267931925155
56,1:127:3,56,546,54600,-14.862278864681649
57,1:127:9,57,224,22400,-14.749244026686004
58,1:127:8,58,143,14300,-14.619618786610314
59,1:127:7,59,313,31300,-15.052342020199841
60,1:127:6,60,198,19800,-14.917210928279975
61,1:127:12,61,302,30200,-14.723451814003097
62,1:127:1,62,3189,318900,-14.917818200119006
63,1:107:4,63,169,16900,-15.07971360402194
64,1:107:11,64,149,14900,-15.58670507652521
65,1:107:3,65,674,67400,-14.922979190660026
66,1:107:10,66,381,38100,-14.879293235711362
67,1:68:3,67,127,12700,-14.681837075802799
68,1:68:13,68,1631,163100,-14.984462147663963
69,1:68:15,69,1187,118700,-15.293673951084783
70,1:68:2,70,789,78900,-14.8843245388783
71,1:157:22,71,229,22900,-15.097923560611681
72,1:157:33,72,115,11500,-15.072581120601228
73,1:157:12,73,139,13900,-14.758284665837907
74,1:157:35,74,69,6900,-15.004552094538521
75,1:157:25,75,258,25800,-15.017941503702827
76,1:157:18,76,388,38800,-15.073855959260817
77,1:157:15,77,75,7500,-14.564535307238332
78,1:157:7,78,149,14900,-15.246712102136438
79,1:157:10,79,116,11600,-15.119141922487797
80,1:157:4,80,246,24600,-14.86494654277086
81,1:157:34,81,38,3800,-14.772706186745758
82,1:157:11,82,783,78300,-14.788622894509725
83,1:157:6,83,94,9400,-14.655406228276004
84,1:157:28,84,344,34400,-14.870048624008541
85,1:157:27,85,214,21400,-15.070282036825631
86,1:157:32,86,93,9300,-14.778716523570006
87,1:157:29,87,151,15100,-15.148280545935528
88,1:157:26,88,115,11500,-14.777216507163951
89,1:157:23,89,193,19300,-14.914923152473765
90,1:157:17,90,478,47800,-14.692299701621952
91,1:157:14,91,438,43800,-14.827025527742418
92,1:157:8,92,74,7400,-15.151189833722825
93,1:157:2,93,240,24000,-14.652489030069553
94,1:157:1,94,55,5500,-15.000047916411626
95,1:157:5,95,172,17200,-14.845362945529743
96,1:110:49,96,47,4700,-15.003206557692877
97,1:110:44,97,245,24500,-15.228889307623353
98,1:110:37,98,131,13100,-15.077914315051595
99,1:110:32,99,545,54500,-14.775273824919372
100,1:110:31,100,65,6500,-14.79513276391492
101,1:110:25,101,197,19700,-15.110496908101362
102,1:110:50,102,166,16600,-14.553283408337546
103,1:110:17,103,727,72700,-14.902113604486654
104,1:110:16,104,171,17100,-14.795527059368627
105,1:110:45,105,549,54900,-14.585961629558847
106,1:110:21,106,325,32500,-15.247542992159394
107,1:110:26,107,207,20700,-14.75816258779572
108,1:110:33,108,206,20600,-14.938178055094184
109,1:110:51,109,170,17000,-14.858692683382301
110,1:110:27,110,1950,195000,-14.855749626659733
111,1:110:34,111,45,4500,-15.345043359981302
112,1:110:4,112,71,7100,-15.02675236670356
113,1:110:40,113,797,79700,-14.817104607588746
114,1:110:5,114,72,7200,-14.839782325257751
115,1:110:6,115,151,15100,-15.333163388310256
116,1:110:59,116,120,12000,-14.592190751411085
117,1:110:35,117,252,25200,-15.009858493125197
118,1:110:8,118,118,11800,-15.210463222546917
119,1:110:55,119,50,5000,-15.270527855384724
120,1:110:47,120,279,27900,-15.591536224900743
121,1:110:36,121,88,8800,-15.117305428976422
122,1:110:7,122,114,11400,-14.798610849809823
123,1:110:42,123,200,20000,-15.288231305463972
124,1:110:56,124,111,11100,-14.808006151298736
