OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
1,1:194:24,1,897,89700,-1.075864989293518
2,1:89:36,2,151,15100,-5.306090044362754
3,1:89:38,3,454,45400,0.035100357410332
4,1:89:47,4,73,7300,-0.292862172743976
5,1:89:46,5,231,23100,-2.432968633694884
6,1:89:43,6,265,26500,2.355790400074404
7,1:194:38,7,327,32700,-6.279924664031852
8,1:194:35,8,363,36300,-3.756703683482999
9,1:194:27,9,920,92000,-5.04526207344877
10,1:194:28,10,275,27500,-8.402373716383133
11,1:194:31,11,1323,132300,-5.457351775759841
12,1:177:46,12,161,16100,0.908373915933388
13,1:178:52,13,142,14200,-3.850915368993587
14,1:178:40,14,695,69500,0.15502604131798
15,1:178:38,15,148,14800,4.641627131219313
16,1:178:7,16,608,60800,2.837439510882249
17,1:178:16,17,239,23900,2.467435676215659
18,1:178:8,18,226,22600,3.505837569924964
19,1:178:17,19,501,50100,2.763175168510816
20,1:178:18,20,125,12500,0.544689264233304
21,1:178:94,21,151,15100,1.461189814535655
22,1:178:19,22,158,15800,2.533263067873628
23,1:178:46,23,62,6200,5.22911828362275
24,1:178:45,24,609,60900,3.647137499687982
25,1:178:9,25,364,36400,0.767616834071833
26,1:178:59,26,530,53000,0.036788870227613
27,1:178:51,27,151,15100,-4.298964991614247
28,1:178:62,28,162,16200,2.8202190564617
29,1:158:1,29,265,26500,3.621916413802581
30,1:158:4,30,1089,108900,4.522144695980678
31,1:158:17,31,171,17100,-0.111042286042909
32,1:158:7,32,291,29100,3.50298289797577
33,1:158:8,33,450,45000,3.032190353476663
34,1:158:2,34,310,31000,1.599797908190785
35,1:158:19,35,48,4800,-1.68622741544732
36,1:158:20,36,62,6200,-0.676099055083072
37,1:158:15,37,465,46500,-1.59858538527413
38,1:158:5,38,411,41100,2.899074914899177
39,1:158:3,39,197,19700,2.163515731107574
40,1:158:18,40,37,3700,0.478755658928031
41,1:158:11,41,180,18000,-2.216266574112141
42,1:158:16,42,68,6800,2.913531723092661
43,1:142:12,43,301,30100,1.754338483271919
44,1:142:4,44,174,17400,0.24037326489909
45,1:142:1,45,226,22600,-0.829501221376813
46,1:142:24,46,257,25700,3.664397804772727
47,1:142:23,47,56,5600,2.261573062128277
48,1:142:20,48,439,43900,0.695688329842784
49,1:142:6,49,133,13300,-2.642830366628395
50,1:142:25,50,123,12300,2.356550604050395
51,1:142:21,51,234,23400,2.501327741561706
52,1:142:26,52,50,5000,5.1578842845261494
53,1:142:27,53,190,19000,3.127852437977755
54,1:142:22,54,112,11200,1.486417432991123
55,1:127:5,55,237,23700,-0.119486680244026
56,1:127:3,56,546,54600,0.66104118787406
57,1:127:9,57,224,22400,2.673212575150369
58,1:127:8,58,143,14300,-2.31315001664049
59,1:127:7,59,313,31300,-5.694297024252124
60,1:127:6,60,198,19800,-3.13404474006418
61,1:127:12,61,302,30200,-3.860390814443463
62,1:127:1,62,3189,318900,-0.899270263613343
63,1:107:4,63,169,16900,1.862342504240242
64,1:107:11,64,149,14900,1.078169011579093
65,1:107:3,65,674,67400,-0.101108570601792
66,1:107:10,66,381,38100,2.5414588117269
67,1:68:3,67,127,12700,-3.361862966186981
68,1:68:13,68,1631,163100,0.840245419927682
69,1:68:15,69,1187,118700,0.279356302570041
70,1:68:2,70,789,78900,1.629818857498615
71,1:157:22,71,229,22900,3.474170927647766
72,1:157:33,72,115,11500,2.785899481489886
