OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
1,1:194:24,1,897,89700,-10.71141332431913
2,1:89:36,2,151,15100,-9.710456294795295
3,1:89:38,3,454,45400,-9.963031203002862
4,1:89:47,4,73,7300,-9.786178735589377
5,1:89:46,5,231,23100,-10.016418756697595
6,1:89:43,6,265,26500,-9.97196518766144
7,1:194:38,7,327,32700,-10.597533862171673
8,1:194:35,8,363,36300,-10.602993815441032
9,1:194:27,9,920,92000,-10.637714281667641
10,1:194:28,10,275,27500,-10.212908768981478
11,1:194:31,11,1323,132300,-10.815534486960251
12,1:177:46,12,161,16100,-10.285983821342608
13,1:178:52,13,142,14200,-9.96749012109426
14,1:178:40,14,695,69500,-10.542890510081643
15,1:178:38,15,148,14800,-10.621256070178024
16,1:178:7,16,608,60800,-10.084692656857115
17,1:178:16,17,239,23900,-9.902025840036227
18,1:178:8,18,226,22600,-10.049982950782496
19,1:178:17,19,501,50100,-10.024791947138132
20,1:178:18,20,125,12500,-10.184549889907258
21,1:178:94,21,151,15100,-10.37040969399459
22,1:178:19,22,158,15800,-10.225528593154738
23,1:178:46,23,62,6200,-10.762478215337602
24,1:178:45,24,609,60900,-10.632787229917485
25,1:178:9,25,364,36400,-9.945625708780016
26,1:178:59,26,530,53000,-10.037194241256895
27,1:178:51,27,151,15100,-10.376680167436334
28,1:178:62,28,162,16200,-10.818328777850091
29,1:158:1,29,265,26500,-10.19670661443736
30,1:158:4,30,1089,108900,-10.274497143662943
31,1:158:17,31,171,17100,-10.478496459996332
32,1:158:7,32,291,29100,-10.061452898895775
33,1:158:8,33,450,45000,-10.214166047319111
34,1:158:2,34,310,31000,-10.140095381325619
35,1:158:19,35,48,4800,-10.123722103192748
36,1:158:20,36,62,6200,-10.179818101954435
37,1:158:15,37,465,46500,-10.176259345356865
38,1:158:5,38,411,41100,-10.118314352211163
39,1:158:3,39,197,19700,-10.059630132053321
40,1:158:18,40,37,3700,-10.250868037223306
41,1:158:11,41,180,18000,-10.158639754701785
42,1:158:16,42,68,6800,-10.640697660230707
43,1:142:12,43,301,30100,-9.800651269140594
44,1:142:4,44,174,17400,-9.441606184922952
45,1:142:1,45,226,22600,-9.657842441195104
46,1:142:24,46,257,25700,-10.409450352362883
47,1:142:23,47,56,5600,-10.575602526089934
48,1:142:20,48,439,43900,-9.993657359354003
49,1:142:6,49,133,13300,-9.377744109603153
50,1:142:25,50,123,12300,-10.281436075968804
51,1:142:21,51,234,23400,-10.0717088406598
52,1:142:26,52,50,5000,-10.292735463846007
53,1:142:27,53,190,19000,-10.119023875091173
54,1:142:22,54,112,11200,-10.198073872639267
55,1:127:5,55,237,23700,-10.189689152596793
56,1:127:3,56,546,54600,-10.177409707638319
57,1:127:9,57,224,22400,-10.345271388028257
58,1:127:8,58,143,14300,-10.096310843321449
59,1:127:7,59,313,31300,-10.220671292666005
60,1:127:6,60,198,19800,-10.346634701906105
61,1:127:12,61,302,30200,-9.673987232729152
62,1:127:1,62,3189,318900,-10.301910166898294
63,1:107:4,63,169,16900,-10.216802498029935
64,1:107:11,64,149,14900,-10.545735163255523
65,1:107:3,65,674,67400,-10.104849472641604
66,1:107:10,66,381,38100,-10.187733051247474
67,1:68:3,67,127,12700,-10.105473276791134
68,1:68:13,68,1631,163100,-10.118898597878493
69,1:68:15,69,1187,118700,-10.083501964465132
70,1:68:2,70,789,78900,-10.302785780667651
71,1:157:22,71,229,22900,-10.536611429061532
72,1:157:33,72,115,11500,-10.60697592409798
73,1:157:12,73,139,13900,-10.34729246263843
74,1:157:35,74,69,6900,-10.046480272054767
75,1:157:25,75,258,25800,-10.108779202715855
76,1:157:18,76,388,38800,-10.384907843893775
77,1:157:15,77,75,7500,-9.989916772984017
78,1:157:7,78,149,14900,-10.28975433192388
79,1:157:10,79,116,11600,-10.703145196740701
80,1:157:4,80,246,24600,-10.177832860300647
81,1:157:34,81,38,3800,-9.92939490505367
82,1:157:11,82,783,78300,-10.245415399476437
83,1:157:6,83,94,9400,-9.723388593537766
84,1:157:28,84,344,34400,-10.234180256043519
85,1:157:27,85,214,21400,-10.356059895619644
86,1:157:32,86,93,9300,-10.122313729144
87,1:157:29,87,151,15100,-10.637132443463488
88,1:157:26,88,115,11500,-9.9425177408853
89,1:157:23,89,193,19300,-10.242061789565426
90,1:157:17,90,478,47800,-10.16154965752975
91,1:157:14,91,438,43800,-9.994613961044944
92,1:157:8,92,74,7400,-9.820220530257373
93,1:157:2,93,240,24000,-9.88670631435222
94,1:157:1,94,55,5500,-10.503733898876913
95,1:157:5,95,172,17200,-10.139384688788352
96,1:110:49,96,47,4700,-9.969880560986875
97,1:110:44,97,245,24500,-10.210128204250012
98,1:110:37,98,131,13100,-9.826205588355506
99,1:110:32,99,545,54500,-9.792410677576518
100,1:110:31,100,65,6500,-9.751124553096368
101,1:110:25,101,197,19700,-10.199053464940786
102,1:110:50,102,166,16600,-9.644927525474223
103,1:110:17,103,727,72700,-9.714168593775279
104,1:110:16,104,171,17100,-9.76209871033828
