ID,TrSP,A,GS,RS,D,H,SI,Stem,Branches,Foliage,Tree_roots,GFF,Understory,Snags,Logs,Coarse_branches,Fine_litter
2:195:34,ALGL,60,120,0.3,28,23,3,27.1640732397194,4.53051795094778,1.14954580620416,5.94620426305301,0.897286068850394,2.63956144056998,3.98627169232362,2.21059145253375,2.12025116872782,2.44570523616504
2:326:47,ALGL,55,160,0.6,22,19,2,35.9581374430837,3.63570264408282,0.832044091553342,9.95378981397469,1.51027460334613,0.818768671668663,2.28048731290454,2.09310793909474,1.31971265654825,2.56271104827946
3:211:13,ALGL,70,340,0.8,28,23,0,77.5648786885187,4.5179836624942,0.731315474092794,15.672522391921,1.36927855552864,0.816746924319036,2.99941088506889,2.7349141697575,1.75458877224142,2.8753383326069
7:292:13,ALGL,65,330,0.8,28,24,1,74.6428121586304,5.3372030628767,0.979483271475686,17.076938844052,1.42906948336052,0.796397779179644,3.14718455792831,2.67938239693073,1.76747993287585,2.84926934360362
6:143:31,ALGL,45,130,0.6,18,17,4,28.788572670771,4.0005832841296,1.14168002684658,9.76223999576914,1.53244987324628,0.718428779458799,1.78766533774275,1.72466783569091,1.00243103269486,2.39783482599959
4:317:14,ALGL,55,290,0.8,20,22,1,65.2734673248019,4.87154764501447,1.01443628638152,15.520360864988,1.3210031728338,0.686416798485186,2.34122946349522,1.84594622896278,1.1338134740319,2.49495456581333
3:264:15,ALGL,60,250,0.7,32,22,3,55.9502742449688,5.86282416090895,1.2899506566811,16.1876085176123,1.65645165462307,0.819985374716821,3.20686055194963,3.19970995386913,2.11829790850241,3.01542105045325
7:81:10,ALGL,70,350,0.75,24,24,1,79.4074738736058,5.76040244737321,1.00247619257889,18.3591475478999,1.53668659749657,0.859390656329849,2.92922529638964,2.18511360957538,1.47030311928639,2.63016328242992
5:94:14,ALGL,70,180,0.5,28,22,1,41.0614737945025,3.67608413089153,0.679825973565611,9.56643720803592,1.47436535690831,1.19297787324861,3.26900761931274,2.52321785926002,1.90655797490925,2.68621308479138
3:92:12,ALGL,60,300,0.9,26,20,2,67.2271118230536,5.43779831500644,1.1057112387464,16.0356770571754,1.32239734064746,0.776965126091185,2.3698494806655,2.73935695932101,1.52344720819677,2.92169818463585
2:195:30,ALGL,60,300,0.7,32,26,2,67.4546703057998,6.15876085322818,1.29294841906125,18.0195303957374,1.56443747898809,0.796885325988777,3.87313227490828,2.95216883188018,2.18004647509058,2.90952517626802
3:323:8,ALGL,60,180,0.7,22,20,1,40.6916287012233,3.16902321341931,0.630214189761302,9.91373144233441,1.4645526391483,0.771026343453788,2.31092269389296,2.11145512654899,1.29237988902732,2.60003211935666
3:32:25,ALGL,70,140,0.4,28,22,1,32.0327436907451,3.24474763642139,0.62343842507391,6.8456871458979,1.22604101389777,1.65773700087122,3.48754513290431,2.40394915092166,1.99046088880614,2.58910884348689
3:371:21,ALGL,45,190,0.7,22,19,2,42.3592034765632,4.19729017624021,1.07220292927285,12.1791816917728,1.36852850149464,0.612878268481202,2.18078620593532,2.16430806764263,1.28102808539661,2.62872927373916
2:90:10,ALGL,55,240,0.8,24,21,2,53.7289221263569,4.70109869396563,1.03343291972301,14.0078869401451,1.41109770874825,0.709438113067306,2.47225660621173,2.36324296327615,1.41913176146025,2.73538037461664
3:120:3,ALGL,50,240,0.8,24,20,2,53.5776547844289,4.81616605245338,1.13017401928045,14.3115641675625,1.349886441587,0.650396381451311,2.33964323436318,2.41947765513795,1.40727236900713,2.76409036236628
6:45:18,ALGL,60,150,0.45,28,21,2,33.928406992648,3.91382588806826,0.88041262474972,8.65879893674889,1.35794010281915,1.24477250776003,3.19783299194106,2.52210641379072,1.93021741294175,2.66633061276969
2:129:37,ALGL,65,260,0.7,26,23,2,58.5983585886029,5.24543319121727,1.03443949613402,15.3775179314775,1.62475097390254,0.855166680732298,2.9851160444389,2.42497864779052,1.63806948625219,2.72042761943821
4:324:13,ALGL,85,220,0.6,32,23,1,50.346803293208,3.93944605459124,0.591569810659648,11.6424845401977,1.74036666193083,1.15324276218344,3.52622053085876,3.02885214950111,2.19901531753265,2.91185965262406
3:372:47,ALGL,55,190,0.7,22,19,2,42.6118447451672,3.98135389378557,0.890900169265539,11.6218222491599,1.50188721862771,0.737069829305811,2.18078620593532,2.16430806764263,1.28102808539661,2.62872927373916
1:11:25,ALGL,60,260,0.75,26,22,2,58.4064975838279,5.15303855765207,1.07169883828671,15.3045778618296,1.52574480737045,0.776175704898312,2.78264022301288,2.51486700638291,1.60409073944623,2.77787315284151
2:242:21,ALGL,70,220,0.65,26,22,1,50.0094232887869,3.89794503246685,0.692023899148719,11.9269055710226,1.59301558616875,0.921023762403465,2.90054729664461,2.43797320130643,1.64901071493426,2.71305130084073
